letra
"Se a vida fosse fácil como a gente quer,Se o futuro a gente pudesse prever,Eu estaria agora tomando um café,Sentado com os amigos em frente à TV,Eu olharia as aves como eu nunca olhei,Daria um abraço apertado em meus avós,Diria eu te amo a quem nunca pensei,Talvez é o que o universo espera de nós,Eu quero ser curado e ajudar curar também,Eu quero ser melhor do que eu nunca fui,Fazer o que eu posso pra me ajudar,Ser justo e paciente como era Jesus,Eu quero dar mais valor até o calor do Sol,Que eu esteja preparado pra quem me conduz,Que eu seja todo dia como um girassol,De costas pro escuro e de frente pra luz"
"Em fervente oração, vem o teu coração,Na presença de Deus derramar,Mas só podes fluir o que estás a pedir,Quando tudo deixares no altar,Quando tudo perante o Senhor estiver,E todo o teu ser Ele controlar,Só, então, hás de ver que o Senhor tem poder,Quando tudo deixares no altar,Maravilhas de amor te fará o Senhor,Atendendo à oração que aceitar,Seu imenso poder, te virá socorrer,Quando tudo deixares no altar,Quando tudo perante o Senhor estiver,E todo o teu ser Ele controlar,Só, então, hás de ver que o Senhor tem poder,Quando tudo deixares no altar,Se orares, porém, sem o teu coração,Ter a paz que o Senhor pode dar,Foi por Deus não Sentir que tua alma se abriu,Tudo, tudo, deixando no altar,Quando tudo perante o Senhor estiver,E todo o teu ser Ele controlar,Só, então, hás de ver que o Senhor tem poder,Quando tudo deixares no altar"
"Esconda-me em Ti, esconda-me em Ti,Nas asas do Seu amor,Esconda-me em Ti, esconda-me em Ti,Nas asas do Seu amor,Esconda-me em Ti, esconda-me em Ti,Nas asas do Seu amor,Esconda-me em Ti, esconda-me em Ti,Nas asas do Seu amor,Como eu amo o Seu nome,Tens o nome mais lindo que eu conheço,Como eu amo o Seu nome,Como eu amo o Seu nome,Tens o nome mais lindo que eu conheço,Esconda-me em Ti, esconda-me em Ti,Nas asas do Seu amor,Esconda-me em Ti, esconda-me em Ti,Nas asas do Seu amor,Como eu amo o Seu nome,Tens o nome mais lindo que eu conheço,Como eu amo o Seu nome,Como eu amo o Seu nome,Tens o nome mais lindo que eu conheço,Como eu amo o Seu nome, Jesus,Qual é som? Qual é o som?,Quando Deus desce na Terra?,Qual é som? Qual é o som?,Qual é som? Qual é o som?,Quando Deus desce na Terra?,Qual é som? Qual é o som?,Qual é som? Qual é o som?,Quando Deus desce na Terra?,Qual é o som? Qual é o som?,E esse é o som, do carpinteiro batendo à porta,Do carpinteiro batendo à porta,E esse é o som, do carpinteiro batendo à porta,Do carpinteiro batendo à porta,E este é meu som,Do lado de dentro eu abro a porta,Do lado de dentro eu abro a porta,E este é meu som,Do lado de dentro eu abro a porta,Do lado de dentro eu abro a porta,E esse é o som,Do carpinteiro batendo à porta,Do carpinteiro batendo à porta,E esse é o som,Do carpinteiro arrumando a casa,Do carpinteiro arrumando a casa,Como eu amo o Seu nome,Tens o nome mais lindo que eu conheço,Como eu amo o Seu nome,Como eu amo o Seu nome,Tens o nome mais lindo que eu conheço,Como eu amo o Seu nome,Como eu amo o Seu nome,Tens o nome mais lindo que eu conheço,Como eu amo o Seu nome,Qual é som? Qual é o som?,Quando Deus desce na Terra?,Qual é som? Qual é o som?,Quando Deus desce na Terra?,Qual é som? Qual é o som?,Quando Deus desce na Terra?,Qual é som? Qual é o som?,Quando Deus desce na Terra?,Qual é som? Qual é o som?,Quando Deus desce na Terra?,Qual é som? Qual é o som?,Quando Deus desce na Terra?,E esse é o som,Do carpinteiro batendo à porta,Do carpinteiro batendo à porta,E esse é o som,Do carpinteiro batendo à porta,Do carpinteiro batendo à porta"
"Oi, Jesus,Oi, Jesus,Podes me ver?,Podes me ouvir?,Oi, Jesus,Oi, Jesus,Podes me ver?,Podes me ouvir?,Tô Te esperando no meu quarto,Pra Te contar os meus segredos,Pra Te lembrar o quanto eu,O quanto eu Te amo,To ansioso pra Te ver,Esperando Você vir pra mim,Ansiando Te tocar,Te tocar, tocar Você,Um dia sem Você é como a morte pra mim,Pois só sei viver com Você aqui,Porque com Você, então, eu posso ser,Vem aqui,E faça do meu quarto o Seu quarto também,E do meu coração uma casa pra Você,Toma minha chave, não precisa fazer cópia,Dou ela pra Você,Dou ela pra Você,Porque,Porque,Eu amo Jesus,Eu amo Jesus,Eu amo Jesus,Um dia sem Você é como a morte pra mim,Pois só sei viver com Você aqui,Porque com Você, então, eu posso ser,Vem aqui,E faça do meu quarto o Seu quarto também,E do meu coração uma casa pra Você,Toma minha chave, não precisa fazer cópia,Dou ela pra Você,Dou ela pra Você,Porque,Porque,Eu amo Jesus,Eu amo Jesus,Eu amo Jesus,Porque,Eu amo Jesus,Eu amo Jesus,Eu amo Jesus,Oi, Jesus,Oi, Jesus,Podes me ver?,Podes me ouvir?"
"Espírito Santo, ore por mim,Leve pra Deus tudo aquilo que eu preciso,Espírito Santo, use as palavras,Que eu necessito usar, mas não consigo,Me ajude nas minhas fraquezas,Não sei como devo pedir,Espírito Santo, vem interceder por mim,Todas as coisas cooperam pra o bem,Daqueles que amam a Ti,Espírito Santo, vem orar por mim,Estou clamando, estou pedindo,Só Deus sabe a dor que estou sentindo,Meu coração está ferido,Mas o meu clamor está subindo,Estou clamando, estou pedindo,Só Deus sabe a dor que estou sentindo,Meu coração está ferido,Mas o meu clamor está subindo,Todas as coisas cooperam pra o bem,Daqueles que amam a Ti,Espírito Santo, vem orar por mim,Estou clamando, estou pedindo,Só Deus sabe a dor que estou sentindo,Meu coração está ferido,Mas o meu clamor está subindo,Estou clamando, estou pedindo,Só Deus sabe a dor que estou sentindo,Meu coração está ferido,Mas o meu clamor está subindo"
"No início eras a palavra,Um com Deus o Altíssimo,O mistério de Tua glória,Cristo em Ti se revelou,Ó, quão lindo esse nome é,Ó, quão lindo esse nome é,O nome de Jesus, meu Rei,Ó, quão lindo esse nome é,Maior que tudo Ele é,Ó, quão lindo esse nome é, o nome de Jesus,Deixou o céu para buscar-nos,Veio pra nos resgatar,Amor maior que o meu pecado,Nada vai nos separar,Ó, quão maravilhoso é,Ó, quão maravilhoso é,O nome de Jesus, meu Rei,Ó, quão maravilhoso é,Maior que tudo Ele é,Ó, quão maravilhoso é o nome de Jesus,Ó, quão maravilhoso é o nome de Jesus,A morte venceste,O véu Tu rompeste,A tumba vazia agora está,O céu Te adora,Proclama Tua glória,Pois ressuscitaste e vivo estás,És invencível,Inigualável,Hoje e pra sempre reinarás,Teu é o reino,Tua é a glória,E acima de todo nome estás,Poderoso esse nome é,Poderoso esse nome é,O nome de Jesus, meu Rei,Poderoso esse nome é,Mais forte que tudo é,Poderoso esse nome é, o nome de Jesus,És invencível,Inigualável,Hoje e pra sempre reinarás,Teu é o reino,Tua é a glória,E acima de todo nome estás,Poderoso esse nome é,Poderoso esse nome é,O nome de Jesus, meu Rei,Poderoso esse nome é,Mais forte que tudo é,Poderoso esse nome é, o nome de Jesus,Poderoso esse nome é, o nome de Jesus,Poderoso esse nome é, o nome de Jesus"
"E quando sinto a lágrima descer,Me sinto fraco pra me defender,E no meu coração eu carrego um vazio,Do tamanho de você,Me sinto perdido mesmo na multidão,O mundo quer aplausos,Tu só quer meu coração,Estou abraçado, mas me sinto só,Em meio a tantos não passamos de pó,Poeira em meio a nada,Mas eu sei que só,Preciso de você,E eu sei que eu não preciso entender,Mas que eu preciso aprender a confiar,Pois mesmo que eu tente,Não saberia explicar,Não saberia explicar,Sei que não te mereço,Mas eu sei que vem,E se eu te chamar, eu sei que vem,Porque me ama,E tudo que há em mim,Eu quero ofertar,Entrego a minha vida hoje em teu altar,Porque eu te amo,Só peço que venhas e que olhes pra mim,Pois todo o meu prazer se concentra em ti,Em te ter comigo,Só em ti encontro o que eu preciso ser,Você é o motivo real do meu viver,Tu és o meu noivo,Tu és o meu novo,Em ti está o meu prazer,Em ti está o meu prazer,Sei que não te mereço,Mas eu sei que vem,E se eu te chamar, eu sei que vem,Porque me ama,E tudo que há em mim,Eu quero ofertar,Entrego a minha vida hoje em teu altar,Porque eu te amo,Sei que não te mereço,Mas eu sei que vem,E se eu te chamar, eu sei que vem,Porque me ama,E tudo que há em mim,Eu quero ofertar,Entrego a minha vida hoje em teu altar,Porque eu te amo,Eu te amo,Sim, eu te amo,Eu te amo,Te amo, Deus,Eu te amo,Eu te amo,Sim, eu te amo,Te amo, Deus"
"Nós estamos aqui,Tão sedentos de Ti,Vem oh Deus, venha oh Deus,Enche este lugar,Meu desejo é sentir,Teu poder, Teu poder,Nós estamos aqui,Tão sedentos de Ti,Vem oh Deus, vem oh Deus,Enche este lugar,Meu desejo é sentir,Teu poder, Teu poder,Então vem me incendiar,Meu coração é Teu altar,Quero ouvir o som do céu,Tua Glória contemplar,Então vem me incendiar,Meu coração é Teu altar,Quero ouvir o som do céu,Tua Glória contemplar,Nós estamos aqui,Tão sedentos de Ti,Vem oh Deus, vem oh Deus,Enche este lugar,Meu desejo é sentir,Teu poder, Teu poder,Então vem me incendiar,Meu coração é Teu altar,Quero ouvir o som do céu,Tua Glória contemplar,Então vem me incendiar,Meu coração é Teu altar,Quero ouvir o som do céu,Tua Glória contemplar,Te damos honra,Te damos glória,Teu é o poder,Pra sempre, amém,Te damos honra,Te damos glória,Teu é o poder,Pra sempre, amém,Te damos honra,Te damos glória,Teu é o poder,Pra sempre, amém,Te damos honra,Te damos glória,Teu é o poder,Pra sempre, amém,Então vem me incendiar,Meu coração é Teu altar,Quero ouvir o som do céu,Tua Glória contemplar,Então vem me incendiar,Meu coração é Teu altar,Quero ouvir o som do céu,Tua Glória contemplar"
"O vento não me derrubou, o medo não me parou,A guerra me feriu, mas a experiência ficou,Eu não me calei e não vou me calar,Enquanto houver fôlego, vou adorar,Posso até ter caído na guerra, mas caído não vou ficar,Sei que esse vento vai passar,Também sei que o meu milagre vai chegar,Deus conhece a minha história, sabe tudo sobre mim,É só olhar pra trás para ver quantas guerras já venci,Sobrevivi adorando, sobrevivi confiando,Sobrevivi, não desisti, Deus cuida de mim,Sobrevivi adorando, sobrevivi confiando,Sobrevivi, não desisti, Deus cuida de mim,Ele cuida da tua casa, cuida da família,Cuida do trabalho, Ele cuida da tua vida,Cuida do ministério, cuida da saúde,Cuida dessa igreja, Ele cuida de ti,Adore, que Ele cuida, exalte, que Ele cuida,Glorifique, que Ele cuida, louve a Ele que Ele cuida,Receba força, receba alegria,Receba equilíbrio, unção de ousadia,Essa guerra não te mata, vai te fortalecer,É nesse deserto que Deus vai prover,Se prepare, tem novidade chegando pra você,Deus dá força ao cansado, levanta o caído,Exalta o humilhado, Ele cuida do ferido,Enquanto você adora Ele aqui,Ele cuida de tudo pra você,Então adore, que Ele cuida, exalte, que Ele cuida,Glorifique, que Ele cuida, louve a Ele que Ele cuida,Se alguém perguntar como você venceu,Você vai dizer assim,Sobrevivi adorando, sobrevivi confiando,Sobrevivi, não desisti, Deus cuida de mim,Ele cuida de mim,Ele cuida de mim"
"Quando todos os meus medos já não cabem mais em mim,Quando o céu está de bronze e parece que é o fim,Quando o vento está revolto e o mar não quer se acalmar,Quando as horas do relógio se demoram a passar,Muitas vezes não consigo os teus planos compreender,Mas prefiro confiar sem entender,Eu creio em Ti,Eu creio em Ti,Eu olho pra Ti,E espero em Ti,Quando você sente medo, do teu lado Eu estou,E é bom que você saiba que Eu sinto a tua dor,Também, nunca se esqueça que o mar posso acalmar,E que Eu sei o tempo certo da vitória te entregar,Este tempo é necessário pra te amadurecer,E depois tem novidade pra você,Eu cuido de Ti,Eu cuido de Ti,Descansa em mim,Comece a sorrir,O que Eu tenho é bem melhor,Pois só Eu sei do amanhã,Então recebe o abraço Meu,Pois da tua vida cuido Eu,Eu cuido de Ti,Eu cuido de Ti,Descansa em mim,Comece a sorrir"
